"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"PA","W - White","40-49.9","0-9.9","143","1,631"
"PA","B - Black","20-29.9","90-100","198","1,630"
"PA","W - White","40-49.9","0-9.9","145","1,630"
"PA","B - Black","90-100","90-100","179","1,623"
"PA","W - White","70-79.9","90-100","178","1,615"
"PA","W - White","60-69.9","0-9.9","144","1,601"
"PA","W - White","40-49.9","0-9.9","178","1,589"
"PA","H - Hispanic or Latino","0-9.9","90-100","197","1,581"
"PA","B - Black","60-69.9","90-100","198","1,567"
"PA","H - Hispanic or Latino","80-89.9","90-100","180","1,564"
"PA","H - Hispanic or Latino","10-19.9","90-100","180","1,549"
"PA","H - Hispanic or Latino","10-19.9","90-100","197","1,541"
"PA","B - Black","60-69.9","90-100","203","1,535"
"PA","W - White","60-69.9","90-100","141","1,534"
"PA","W - White","90-100","0-9.9","174","1,533"
"PA","W - White","60-69.9","90-100","031","1,525"
"PA","H - Hispanic or Latino","30-39.9","90-100","197","1,511"
"PA","W - White","70-79.9","90-100","170","1,496"
"PA","B - Black","20-29.9","90-100","197","1,496"
"PA","B - Black","50-59.9","90-100","198","1,490"
"PA","W - White","60-69.9","0-9.9","031","1,487"
"PA","W - White","60-69.9","90-100","140","1,484"
"PA","W - White","70-79.9","90-100","145","1,479"
"PA","W - White","60-69.9","0-9.9","029","1,467"
"PA","W - White","60-69.9","0-9.9","142","1,466"
"PA","W - White","80-89.9","0-9.9","172","1,463"
"PA","W - White","70-79.9","0-9.9","140","1,449"
"PA","W - White","50-59.9","0-9.9","144","1,439"
"PA","B - Black","20-29.9","90-100","203","1,436"
"PA","W - White","40-49.9","90-100","029","1,416"
"PA","B - Black","60-69.9","90-100","179","1,416"
"PA","W - White","50-59.9","0-9.9","142","1,410"
"PA","H - Hispanic or Latino","60-69.9","90-100","180","1,403"
"PA","B - Black","50-59.9","90-100","203","1,403"
"PA","H - Hispanic or Latino","30-39.9","90-100","180","1,402"
"PA","W - White","70-79.9","90-100","018","1,400"
"PA","W - White","50-59.9","90-100","029","1,394"
"PA","W - White","60-69.9","90-100","142","1,383"
"PA","B - Black","70-79.9","90-100","181","1,379"
"PA","W - White","60-69.9","90-100","177","1,373"
"PA","B - Black","40-49.9","90-100","203","1,373"
"PA","W - White","80-89.9","0-9.9","174","1,368"
"PA","W - White","80-89.9","90-100","182","1,362"
"PA","W - White","70-79.9","90-100","172","1,361"
"PA","W - White","70-79.9","0-9.9","018","1,360"
"PA","W - White","70-79.9","90-100","174","1,358"
"PA","W - White","70-79.9","90-100","173","1,348"
"PA","W - White","80-89.9","0-9.9","173","1,337"
"PA","W - White","40-49.9","90-100","031","1,336"
"PA","B - Black","40-49.9","90-100","198","1,329"
"PA","B - Black","50-59.9","90-100","179","1,328"
"PA","W - White","50-59.9","90-100","031","1,321"
"PA","W - White","60-69.9","90-100","144","1,320"
"PA","W - White","70-79.9","0-9.9","141","1,319"
"PA","B - Black","10-19.9","90-100","179","1,315"
"PA","B - Black","10-19.9","90-100","198","1,311"
"PA","B - Black","40-49.9","90-100","179","1,303"
"PA","W - White","60-69.9","90-100","143","1,300"
"PA","W - White","10-19.9","0-9.9","145","1,298"
"PA","W - White","90-100","90-100","131","1,287"
"PA","W - White","50-59.9","90-100","140","1,276"
"PA","B - Black","70-79.9","90-100","197","1,274"
"PA","B - Black","30-39.9","90-100","203","1,259"
"PA","W - White","90-100","90-100","202","1,257"
"PA","W - White","60-69.9","90-100","178","1,246"
"PA","W - White","50-59.9","0-9.9","140","1,246"
"PA","B - Black","30-39.9","90-100","179","1,243"
"PA","W - White","40-49.9","0-9.9","144","1,240"
