"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"AK","W - White","40-49.9","0-9.9","Q","1,297"
"AK","W - White","90-100","90-100","R","1,282"
"AK","W - White","60-69.9","0-9.9","D","1,269"
"AK","W - White","70-79.9","90-100","B","1,259"
"AK","W - White","50-59.9","0-9.9","O","1,245"
"AK","W - White","30-39.9","0-9.9","D","1,235"
"AK","W - White","80-89.9","90-100","K","1,227"
"AK","W - White","70-79.9","0-9.9","N","1,223"
"AK","W - White","30-39.9","0-9.9","M","1,219"
"AK","W - White","40-49.9","0-9.9","M","1,213"
"AK","W - White","50-59.9","0-9.9","D","1,206"
"AK","W - White","40-49.9","0-9.9","N","1,192"
"AK","W - White","60-69.9","0-9.9","M","1,184"
"AK","W - White","50-59.9","0-9.9","Q","1,182"
"AK","W - White","90-100","0-9.9","K","1,179"
"AK","W - White","80-89.9","90-100","J","1,174"
"AK","W - White","80-89.9","90-100","C","1,164"
"AK","W - White","30-39.9","0-9.9","N","1,159"
"AK","W - White","80-89.9","0-9.9","F","1,149"
"AK","W - White","50-59.9","0-9.9","M","1,142"
"AK","W - White","60-69.9","0-9.9","N","1,137"
"AK","W - White","60-69.9","0-9.9","Q","1,126"
"AK","W - White","80-89.9","0-9.9","H","1,119"
"AK","W - White","70-79.9","0-9.9","Q","1,118"
"AK","W - White","10-19.9","0-9.9","O","1,114"
"AK","W - White","50-59.9","0-9.9","N","1,100"
"AK","W - White","70-79.9","0-9.9","L","1,070"
"AK","W - White","90-100","0-9.9","G","1,055"
"AK","W - White","60-69.9","0-9.9","L","1,018"
"AK","W - White","80-89.9","90-100","A","1,014"
"AK","W - White","20-29.9","0-9.9","Q","1,005"
"AK","W - White","80-89.9","90-100","L","1,004"
"AK","W - White","10-19.9","0-9.9","D","1,003"
"AK","W - White","30-39.9","0-9.9","R","1,000"
"AK","W - White","20-29.9","0-9.9","O","989"
"AK","W - White","30-39.9","0-9.9","C","970"
"AK","W - White","60-69.9","90-100","B","970"
"AK","W - White","90-100","0-9.9","A","968"
"AK","W - White","60-69.9","0-9.9","C","962"
"AK","W - White","10-19.9","0-9.9","Q","962"
"AK","W - White","80-89.9","0-9.9","B","951"
"AK","W - White","70-79.9","0-9.9","C","943"
"AK","W - White","90-100","0-9.9","R","942"
"AK","W - White","50-59.9","0-9.9","L","936"
"AK","W - White","0-9.9","10-19.9","D","928"
"AK","W - White","0-9.9","10-19.9","O","910"
"AK","W - White","90-100","0-9.9","C","905"
"AK","W - White","70-79.9","90-100","H","901"
"AK","W - White","40-49.9","0-9.9","C","879"
"AK","W - White","70-79.9","90-100","I","876"
"AK","W - White","90-100","0-9.9","P","876"
"AK","W - White","20-29.9","0-9.9","N","870"
"AK","W - White","70-79.9","90-100","E","862"
"AK","W - White","30-39.9","0-9.9","A","861"
"AK","W - White","80-89.9","0-9.9","P","860"
"AK","W - White","70-79.9","0-9.9","R","857"
"AK","W - White","90-100","0-9.9","B","856"
"AK","W - White","10-19.9","0-9.9","M","847"
